Work order,Date,Color,Texure,Size,Quantity in
NEW YEAR STOCK,30-03-2024,2N,Reg,"18""",0.39
NEW YEAR STOCK,30-03-2024,2N,Reg,"20""",0.23
NEW YEAR STOCK,30-03-2024,2N,Reg,"24"" UP",13.53
NEW YEAR STOCK,30-03-2024,1N,Reg,"12""",2.58
NEW YEAR STOCK,30-03-2024,2N,Reg,"12""",1.225
NEW YEAR STOCK,30-03-2024,4N,Reg,"12""",1.47
NEW YEAR STOCK,30-03-2024,5N,Reg,"12""",2.65
NEW YEAR STOCK,30-03-2024,6N,Reg,"12""",1.22
NEW YEAR STOCK,30-03-2024,7N,Reg,"12""",0.65
NEW YEAR STOCK,30-03-2024,8N,Reg,"12""",0.195
NEW YEAR STOCK,30-03-2024,9N,Reg,"12""",1.58
NEW YEAR STOCK,30-03-2024,10N,Reg,"12""",0.755
NEW YEAR STOCK,30-03-2024,12N,Reg,"12""",1.07
NEW YEAR STOCK,30-03-2024,7G,Reg,"12""",0.155
NEW YEAR STOCK,30-03-2024,2R,Reg,"12""",0.85
NEW YEAR STOCK,30-03-2024,3R,Reg,"12""",1.92
NEW YEAR STOCK,30-03-2024,4R,Reg,"12""",1.13
NEW YEAR STOCK,30-03-2024,5R,Reg,"12""",0.38
NEW YEAR STOCK,30-03-2024,6R,Reg,"12""",0.76
NEW YEAR STOCK,30-03-2024,7R,Reg,"12""",0.73
NEW YEAR STOCK,30-03-2024,2N/4B,Reg,"12""",1.93
NEW YEAR STOCK,30-03-2024,4N/7G,Reg,"12""",0.9
NEW YEAR STOCK,30-03-2024,6N/10N,Reg,"12""",0.96
NEW YEAR STOCK,30-03-2024,7N/11B,Reg,"12""",1.77
NEW YEAR STOCK,30-03-2024,7A/11A,Reg,"12""",0.16
NEW YEAR STOCK,30-03-2024,2A,Reg,"12""",0.885
NEW YEAR STOCK,30-03-2024,3A,Reg,"12""",3.89
NEW YEAR STOCK,30-03-2024,4A,Reg,"12""",0.47
NEW YEAR STOCK,30-03-2024,5A,Reg,"12""",1.23
NEW YEAR STOCK,30-03-2024,6A,Reg,"12""",1.2
NEW YEAR STOCK,30-03-2024,7A,Reg,"12""",1.8
NEW YEAR STOCK,30-03-2024,8A,Reg,"12""",1.65
NEW YEAR STOCK,30-03-2024,9A,Reg,"12""",1.82
NEW YEAR STOCK,30-03-2024,11A,Reg,"12""",1.3
NEW YEAR STOCK,30-03-2024,12A,Reg,"12""",1.42
NEW YEAR STOCK,30-03-2024,3B,Reg,"12""",1
NEW YEAR STOCK,30-03-2024,4B,Reg,"12""",1.775
NEW YEAR STOCK,30-03-2024,8B,Reg,"12""",1.4
NEW YEAR STOCK,30-03-2024,9B,Reg,"12""",1.2
NEW YEAR STOCK,30-03-2024,10B,Reg,"12""",1.08
NEW YEAR STOCK,30-03-2024,11B,Reg,"12""",2.795
NEW YEAR STOCK,30-03-2024,12B,Reg,"12""",1.67
