Work order,Date,Color,Texure,Size,Quantity in
,,,,,
,,,,,
,,,,,
,,,,,
Test 1,06-Mar-24,2N,Wave,"22""",240
Test 2,06-Mar-24,2N,Regular,"20""",240
Test 3,19-Mar-24,6R,Regular,"18""",240
Test 4,20-Mar-24,2N,Regular,"16""",240
Test 5,21-Feb-24,1N,Regular,"22""",240
Test 6,16-Apr-24,10N,Regular,"18""",240
Test 7,16-Apr-24,10N,Regular,"18""",240
Test 8,04-Apr-24,5N,Regular,"18""",240
Test 9,08-Apr-24,1N,Regular,"18""",240
Test 10,,2A,Regular,"18""",240
Test 11,29-Apr-24,1N,Regular,"18""",240
Test 12,29-Apr-24,5N,Regular,"22""",240
Test 13,06-May-24,6N,Regular,"18""",240
Test 14,08-Apr-24,7G,Regular,"18""",240
Test 15,05-Feb-24,7G/10N,Regular,"16""",240
Test 16,13-Feb-24,3B,Regular,"16""",240
