Work order,Date,Color,Texure,Size,Quantity in,Product Type
UK 001,02-Aug-24,6N/9N,Regular,16,204,DD
UK 002,02-Aug-24,7G/10N,Regular,12,240,SD
UK 003,02-Aug-24,8N/11A,Regular,18,120,DD
UK 004,02-Aug-24,9A/11A,Regular,14,360,SD
UK 005,02-Aug-24,10B/12B,Regular,24,180,DD
UK 006,02-Aug-24,11A/12B,Regular,22,240,SD
UK 007,02-Aug-24,2N/4B,Regular,20,102,DD
UK 008,02-Aug-24,4N/7G,Regular,16,105,SD
UK 009,02-Aug-24,6N/10N,Regular,12,108,DD
UK 010,02-Aug-24,7A/11A,Regular,14,106,SD
UK 011,02-Aug-24,7N/11B,Regular,24,106,DD
