Work order,Date,Color,Texure,Size,Quantity in,Product Type
FGJULY08,12-Aug-24,9N,Regular,18,204,SD
FGMAY04,12-Aug-24,11A,Regular,18,1500,SD
FGFEB01,12-Aug-24,1N,Regular,18,1500,SD
FGJAN21,12-Aug-24,5N,Regular,18,720,SD
FGJUNE10,12-Aug-24,5N,Regular,18,780,SD
FGJAN22,12-Aug-24,5N,Regular,22,720,SD
FGDEC14,12-Aug-24,6N,Regular,18,720,SD
FGMAR06,12-Aug-24,6N,Regular,18,360,SD
FGOCT05,12-Aug-24,9N,Regular,18,720,SD
FGMAY02,12-Aug-24,7A/11A Ombre,Regular,18,408,SD
HCHS28,12-Aug-24,8A,Regular,18,720,SD
