Work order,Date,Color,Texure,Size,Quantity in,Product Type,,,,,,,,,
UK030,20-Aug-24,2N/4B Ombre,Wavy,20,260,SD,,,,,,,,,
UK031,20-Aug-24,2A,Regular,18,410,DD,,,,,,,,,
FGAUG10,20-Aug-24,2A,Regular,18,408,DD,,,,,,,,,
UK032,20-Aug-24,10B,Wavy,20,240,SD,,,,,,,Regular,,6N/9N
1899-32,20-Aug-24,2A,Regular,18,216,DD,,,,,,,Curly,,7G/10N
UK033,20-Aug-24,12B,Regular,16,408,DD,,,,,,,Wavy,,8N/11A
BULK097,20-Aug-24,4N/7G Ombre,Regular,16,410,SD,,,,,,,,,9A/11A
,,,,,,,,,,,,,,,10B/12B
,,,,,,,,,,,,,,,11A/12B
,,,,,,,,,,,,,,,2N/4B Ombre
,,,,,,,,,,,,,,,4N/7G Ombre
,,,,,,,,,,,,,,,6N/10N Ombre
,,,,,,,,,,,,,,,7A/11A Ombre
,,,,,,,,,,,,,,,7N/11B Ombre
,,,,,,,,,,,,,,,Custom color
,,,,,,,,,,,,,,,Gray white
,,,,,,,,,,,,,,,Others
