Work order,Date,Color,Texure,Size,Quantity in,Product Type,,,,,,,,,,,,,
"DHJUNE-12,JULY-04",23-Aug-24,11A/12B,Wavy,18,244,SD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Regular,,6N/9N,,,,
,,,,,,,,,,,,,Curly,,7G/10N,,,,
,,,,,,,,,,,,,Wavy,,8N/11A,,,,
,,,,,,,,,,,,,,,9A/11A,,,,
,,,,,,,,,,,,,,,10B/12B,,,,
,,,,,,,,,,,,,,,11A/12B,,,,
,,,,,,,,,,,,,,,2N/4B  Ombre,,,,
,,,,,,,,,,,,,,,4N/7G  Ombre,,,,
,,,,,,,,,,,,,,,6N/10N Ombre,,,,
,,,,,,,,,,,,,,,7A/11A Ombre,,,,
,,,,,,,,,,,,,,,7N/11B  Ombre,,,,
,,,,,,,,,,,,,,,Custom color,,,,
,,,,,,,,,,,,,,,Gray white,,,,
,,,,,,,,,,,,,,,Others,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,43,
,,,,,,,,,,,,,,,,,,33,101
,,,,,,,,,,,,,,,,,,25,
,,,,,,,,,,,,,,,,,,101,
,,,,,,,,,,,,,,,,,,,1500
