Work order,Date,Color,Texure,Size,Quantity in,Product Type,,,,,,,,,,,,,
BULK129,28-Aug-24,12B,Regular,22,426,CY SD,,,,,,,,,,,,,
BULK130,28-Aug-24,8N/11A,Regular,20,244,PY SD,,,,,,,,,,,,,
BULK131,28-Aug-24,1N,Curly,18,424,PY SD,,,,,,,,,,,,,
,,,,,,,,,,,,,Regular,,6N/9N,,,,
,,,,,,,,,,,,,Curly,,7G/10N,,,,
,,,,,,,,,,,,,Wavy,,8N/11A,,,,
,,,,,,,,,,,,,,,9A/11A,,122,,
,,,,,,,,,,,,,,,10B/12B,,,,
,,,,,,,,,,,,,,,11A/12B,,,,
,,,,,,,,,,,,,,,2N/4B  Ombre,,,,
,,,,,,,,,,,,,,,4N/7G  Ombre,,,,
,,,,,,,,,,,,,,,6N/10N Ombre,,,,
,,,,,,,,,,,,,,,7A/11A Ombre,,,,
,,,,,,,,,,,,,,,7N/11B  Ombre,,,,
,,,,,,,,,,,,,,,Custom color,,,,
,,,,,,,,,,,,,,,Gray white,,,,
,,,,,,,,,,,,,,,Others,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,43,
,,,,,,,,,,,,,,,,,,33,101
,,,,,,,,,,,,,,,,,,25,
,,,,,,,,,,,,,,,,,,101,
,,,,,,,,,,,,,,,,,,,1500
